user_id;name;surname;username;password;email;roles;host_since;about;user_pic_url;neighbourhood;location;host_verifications;languages
1;Matteo;Giannoli;Matteo;matteo!123A;matteogiannoli@gmail.com;1,2,3,4;2014-02-26;Amo viaggiare e adoro essere ospitato dove posso sentirmi a casa.;https://a0.muscache.com/im/pictures/user/213eba4a-b7b4-499f-b3af-b1e04536f8ef.jpg;Monti;Roma, Lazio, Italia;1,2;1,2
2;Federica;Patrizi;Federica;federica!123A;federicapatrizi@gmail.com;1,2,3;2016-04-05;Sono sposata, ho un bambino di 8 anni e non posso fare a meno di mangiare bene, godermi ogni tanto qualche giorno in campagna per passeggiare, stare con gli amici e la mia famiglia!!! ;https://a0.muscache.com/im/pictures/user/eae131ca-e924-40e9-b0f8-268241987f25.jpg;Sallustiano;Roma, Lazio, Italia;1,2;1,2
3;Germana;Cataldo;Germana;germana!123A;germanacataldo@gmail.com;1,3;2013-06-12;Gestisco il B&B The Suite in Rome insieme a mio marito.;https://a0.muscache.com/im/users/6876317/profile_pic/1371054185/original.jpg;Trastevere;Roma, Lazio, Italia;1,2,3;1,2,3,4
4;Rocco;Rimonta;Rocco;rocco!123A;roccorimonta@gmail.com;1,3;2016-05-06;"Hi I'm Rocco... I'm a man... yes I have to specify it because some guests in the past, thought that Rocco was a woman's name... isn't so.. in Italy Rocco is a man.. ahahaha
Jokes aside, I have to write something about me so...
I worked twelve years in a big shop in Termini Station. There was tourists everywhere. My job was sell, sell,and sell.. everything to everyone. It was so boring. So I decided to change something trying to work on my own. I wanted ""sell"" something nice to peoples. Before to be an host I was a guest. I love kind and friendly peoples, when I'm in vacation I love hospitality, especially if I'm away from home. So this is my job today: I like to help my guests to spend their time in Rome better, and why not? Maybe tomorrow I'll be able to read in your review: ""Thank you Rocco, we felt like home!"" :) :)";https://a0.muscache.com/im/pictures/user/3c388d54-bc7e-4fd5-933e-501f9934bb9f.jpg;Monti;Roma, Lazio, Italia;1,2;1,2,3
5;Patrizio;Sallusti;Patrizio;patrizio!123A;patriziosallusti@gmail.com;1,3;2014-09-05;"Ciao! Mi chiamo Patrizio, ho 33 anni, sono un imprenditore. 
sono nato e vivo a roma e amo questa città. 

Hi everyone! My name is Patrizio  , im 33 . loving, studying and working in Rome. 
I'm very friendly and i like to meet people from other country. 
my goal:  be the best host ever and give an amazing experience to my guests .
I love to see my guests happy, to see a smile upon their faces , it makes me happy a lot. 
Check all my listing of flats!! :)";https://a0.muscache.com/im/pictures/user/6e75f2f9-f4f1-475d-b6bf-01199cad207c.jpg;Esquilino;Roma, Lazio, Italia;1,2,3;1,2
6;Marina;Verdi;Marina;marina!123A;marinaverdi@gmail.com;1,3;2013-07-10;"Nata e cresciuta in questa bellissima città, dopo la laurea in Psicologia ho svolto attività di psicoterapeuta per moltissimi anni. Qualche anno mi sono avvicinata  al mondo dell'accoglienza turistica e insieme a mia figlia abbiamo deciso di mettere a disposizione dei nostri ospiti le accoglienti e belle case di nostra proprietà nei caratteristici quartieri di Trastevere, Parione e Aventino.
Piena di entusiasmo mi sono quindi immersa in questa bellissima esperienza che mi consente di conoscere i miei ospiti a cui, insieme al mio team,  , dedico sempre le maggiori attenzioni e cura con il desiderio di fargli conoscere la millenaria città di Roma.";https://a0.muscache.com/im/pictures/user/fd5daa44-f107-4a1f-9452-db7a834611b4.jpg;Trastevere;Roma, Lazio, Italia;1,2,3;1,2
7;Giordano;Corrini;Giordano;giordano!123A;giordanocorrini@gmail.com;1,3;2016-06-22;Vivo a Roma nell'appartamento di sopra al B&B. Parlo 6 lingue e posso facilmente comunicare con gli ospiti se necessitano di assistenza, ulteriori informazioni ecc. ;https://a0.muscache.com/im/pictures/user/c0ff3b44-8c8f-463a-9010-5eb16c7fe294.jpg;Monti;Roma, Lazio, Italia;1,2;1,2
8;Ludovica;Maraldi;Ludovica;ludovica!123A;ludovicamaraldi@gmail.com;1,3;2016-10-21;I'm a person who loves traveling. I strongly believe that each experience I lived in my travels, around the world, has enriched me of new emotions and sensations and i try to forward, what i learnt, to all the guests staying here giving them all the attention and the maximum professionality they deserve.;https://a0.muscache.com/im/pictures/user/2c193cec-993c-478f-8419-808836f56fbc.jpg;Aurelio;Roma, Lazio, Italia;1,2;1,2
9;Vania;Ginepri;Vania;vania!123A;vaniaginepri@gmail.com;1,3,4;2012-02-15;"Ciao sono Vania,sono iscritta su airbnb dal 2012 ma da gennaio 2017 ho deciso di mettere a disposizione di tutti i viaggiatori del mondo la mia casa. 
";https://a0.muscache.com/im/pictures/user/e8a4f1d4-d46d-4bbe-96d8-c6ea0e328ed8.jpg;;Roma, Lazio, Italia;1,2;1,2,4
10;Giorgio;Rossi;Giorgio;giorgio!123A;giorgiorossi@gmail.com;1,3;2016-12-13;;https://a0.muscache.com/im/pictures/user/4a3dc138-ad9e-4ec2-896c-1b8d542dd075.jpg;Trevi;Roma, Lazio, Italia;1,2;1,2
11;Giulia;Bellini;Giulia;giulia!123A;giuliabellini@gmail.com;1,3;2013-12-04;"Hi! My name is Giulia, I am 27 and I am from Rome, Italy.
I have studied languages at University Sapienza in Roma.
Thanks to my studies I speak french and english fluently, and I have had the opportunity to spend a period of time in Grenoble, south of France, working on my thesis.

I am very radiant person, and I always do my best to respect everyone I know.
I love travelling, diving, cooking, and I am a pilates-addicted!

Looking forward to host you in my lovely place!
";https://a0.muscache.com/im/users/11/profile_pic/1388600760/original.jpg;Trevi;Roma, Lazio, Italia;1,2;1,2
12;Lucia;Palombi;Lucia;lucia!123A;luciapalombi@gmail.com;1,3;2017-02-17;Ciao sono  Lucia, amo viaggiare, leggere e conoscere nuove persone. Sono una mamma host. Adoro accogliere gli ospiti nel mio magico appartamento e rendere i loro giorni  indimenticabili.;https://a0.muscache.com/im/pictures/user/a17c835e-3015-4c00-88c9-8357a9df7d48.jpg;Trevi;Roma, Lazio, Italia;1,2;1,2
13;Emanuela;Esposito;Emanuela;emanuela!123A;emanuelaesposito@gmail.com;1,3;2014-10-15;I love spending  my time with my son Martino and meeting my guests from all over the world. I love to make you feel at home!;https://a0.muscache.com/im/pictures/user/88c035e2-c0fb-446b-8a3b-ec97ddeb7818.jpg;Esquilino;Roma, Lazio, Italia;1,2;1,2
14;Roberto;Molinari;Roberto;roberto!123A;robertomolinari@gmail.com;1,3,4;2017-03-21;;https://a0.muscache.com/im/pictures/user/d8f99515-aedc-42ee-91c1-c0f67133589f.jpg;Esquilino;Roma, Lazio, Italia;1,2;1,2,5
15;Gian Marco;Campi;Gian;gian!123A;gianmarcocampi@gmail.com;1,3;2017-03-28;"we love traveling in the world,
and we try to make our homes as comfortable as possible to give unforgettable moments.
we treat our guests as friends and we like to know and interact with travelers :-)";https://a0.muscache.com/im/pictures/user/ab12f5e9-ec67-4fb5-9ec7-fd80db414572.jpg;Monti;Roma, Lazio, Italia;1;1,2
16;Franco;Maremma;Franco;franco!123A;francomaremma@gmail.com;1,3;2012-08-15;Franco and Simone from Italy;https://a0.muscache.com/im/pictures/user/aa19ca6c-7ba4-4978-a0f1-bb2a46ccaea7.jpg;Centocelle;Roma, Lazio, Italia;1,2;1,2
17;Rossella;Bontempi;Rossella;rossella!123A;rossellabontempi@gmail.com;1,3;2013-12-28;affitto camere;https://a0.muscache.com/im/users/17/profile_pic/1388268237/original.jpg;Monti;Roma, Lazio, Italia;1,2;1,2
